index,question,encoding,answer,type
478,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
479,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
480,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
481,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
482,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
483,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
484,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
485,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
486,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
487,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
488,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
489,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
490,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
491,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
492,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
493,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
494,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
495,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
496,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
497,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
498,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
499,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
500,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
501,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
502,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
503,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
504,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
505,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
506,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
507,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
508,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
509,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
510,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
511,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
512,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
513,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
514,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
515,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",bottom,1
516,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
517,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
518,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
519,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
520,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
521,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
522,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
523,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
524,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
525,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
526,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
527,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
528,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
529,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
530,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
531,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
532,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
533,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
534,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
535,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
536,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
537,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
538,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
539,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
540,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
541,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
542,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
543,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
544,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
545,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
546,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
547,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
548,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
549,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
550,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
551,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
552,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
553,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
554,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
555,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",red,0
556,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
557,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
558,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
559,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
560,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
561,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
562,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
563,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
564,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
565,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
566,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
567,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
568,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
569,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
570,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
571,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
572,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
573,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
574,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
575,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
576,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
577,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
578,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
579,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
580,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
581,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
582,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
583,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
584,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
585,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
586,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
587,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
588,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
589,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
590,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
591,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
592,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
593,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
594,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
595,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
596,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
597,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
598,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
599,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
600,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
601,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
602,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
603,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
604,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
605,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
606,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
607,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
608,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
609,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
610,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
611,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",right,1
612,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
613,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
614,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
615,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
616,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
617,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
618,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",red,0
619,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
620,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
621,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
622,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
623,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
624,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
625,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
626,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
627,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
628,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
629,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",right,1
630,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
631,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
632,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
633,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
634,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
635,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
636,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
637,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
638,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
639,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
640,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
641,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
642,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
643,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
644,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
645,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
646,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
647,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
648,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
649,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",blue,0
650,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
651,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
652,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
653,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
654,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
655,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
656,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
657,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
658,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
659,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
660,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
661,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
662,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
663,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
664,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
665,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
666,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
667,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
668,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
669,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
670,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
671,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
672,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
673,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
674,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
675,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
676,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
677,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
678,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
679,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
680,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
681,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
682,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
683,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
684,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
685,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
686,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
687,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
688,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
689,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
690,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
691,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
692,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
693,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
694,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
695,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
696,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
697,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
698,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
699,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
700,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
701,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
702,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
703,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
704,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
705,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
706,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
707,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
708,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
709,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
710,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
711,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
712,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
713,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
714,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
715,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
716,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",bottom,1
717,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
718,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
719,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
720,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
721,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
722,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
723,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
724,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
725,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
726,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
727,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
728,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
729,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
